Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌🔌
Espada De La Cruz,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,12AM,10AM,✘,✘,✘
nice,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,3AM,12PM,☕☕☕☕,💪💪,🔌🔌🔌🔌
Colicci Coffee,https://goo.gl/maps/5JqFC3UZ7TRuJptv7,7:30AM,6:30PM,☕☕☕☕☕,✘,✘
gdbdrgx,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,3AM,12PM,✘,✘,✘
fyf,https://steamcommunity.com/sharedfiles/filedetails/?id=2461634437,12AM,12PM,✘,✘,✘
Cafe Viking,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,3AM,6AM,☕☕☕☕,💪💪💪,🔌🔌🔌🔌
